account_id,customer_id,account_type,balance,status
A00116,C03949,Current,865263.81,Active
A00117,C05898,Investment,464349.06,Active
A00118,C00835,Investment,48690.94,Active
A00119,C05457,Investment,253008.87,Active
A00120,C03748,Current,614947.00,Active
A00121,C01176,Investment,263152.53,Active
A00122,C02188,Savings,353045.22,Active
A00123,C08200,Current,401889.57,Active
A00124,C05614,Current,648509.63,Active
A00125,C07993,Current,96135.45,Active
A00126,C06130,Current,214782.68,Active
A00127,C02485,Savings,860842.71,Active
A00128,C06110,Current,553135.00,Active
A00129,C09537,Current,486498.43,Active
A00130,C07993,Current,928038.08,Active
A00131,C06698,Current,45267.00,Active
A00132,C08699,Current,628441.77,Active
A00133,C03169,Current,168476.63,Active
A00134,C04948,Current,2879.07,Active
A00135,C01668,Current,401046.73,Active
A00136,C07285,Investment,716600.96,Active
A00137,C08073,Investment,590277.35,Active
A00138,C04024,Current,125361.07,Active
A00139,C05233,Investment,340705.60,Active
A00140,C03552,Current,938891.25,Active
A00141,C06594,Savings,123538.55,Active
A00142,C09970,Current,101672.17,Active
A00143,C05701,Investment,678126.70,Active
A00144,C00645,Savings,438891.11,Active
A00145,C06279,Current,573205.82,Active
A00146,C09415,Savings,489392.32,Active
A00147,C09788,Savings,944215.08,Active
A00148,C01604,Current,903961.53,Active
A00149,C05983,Investment,810611.87,Active
A00150,C09006,Investment,424796.29,Active
A00151,C04096,Current,998216.15,Active
A00152,C07976,Savings,368646.41,Active
A00153,C05834,Investment,527660.98,Active
A00154,C08013,Savings,455000.12,Active
A00155,C08821,Savings,270820.54,Active
A00156,C03501,Savings,801044.61,Active
A00157,C03177,Investment,8294.04,Active
A00158,C00773,Investment,468627.44,Inactive
A00159,C02703,Current,635617.64,Closed
A00160,C03715,Current,405783.39,Active
A00161,C03687,Current,480304.29,Active
A00162,C09303,Current,442187.81,Active
A00163,C01025,Investment,268762.10,Closed
A00164,C03212,Investment,767876.28,Closed
A00165,C00181,Investment,52498.04,Active
A00166,C03741,Current,774405.22,Active
A00167,C05977,Investment,813945.41,Active
A00168,C00413,Investment,174932.18,Active
A00169,C02974,Investment,415665.48,Inactive
A00170,C07715,Investment,946029.78,Active
A00171,C01120,Savings,886469.61,Inactive
A00172,C08571,Current,429735.07,Active
A00173,C01450,Savings,672546.92,Closed
A00174,C02724,Savings,264590.24,Active
A00175,C05281,Savings,805298.91,Active
A00176,C01773,Investment,489742.64,Active
A00177,C09300,Savings,843058.98,Active
A00178,C05016,Current,976768.96,Active
A00179,C07398,Current,629547.78,Active
A00180,C06100,Investment,215555.37,Active
A00181,C05195,Current,287123.79,Active
A00182,C08533,Savings,797495.31,Active
A00183,C05614,Savings,214615.34,Inactive
A00184,C03074,Investment,966404.75,Active
A00185,C02366,Savings,206871.46,Active
A00186,C08846,Savings,690326.71,Active
A00187,C07027,Investment,301607.33,Active
A00188,C04579,Current,939160.53,Active
A00189,C02205,Savings,28873.39,Active
A00190,C08557,Savings,199127.94,Active
A00191,C00978,Savings,112180.81,Active
A00192,C08876,Savings,911506.86,Active
A00193,C00027,Investment,482201.64,Active
A00194,C04770,Current,908029.70,Active
A00195,C09389,Savings,991393.19,Active
A00196,C07917,Current,109298.97,Active
A00197,C07620,Current,145236.83,Active
A00198,C00043,Current,421646.66,Active
A00199,C01077,Investment,416619.95,Closed
A00200,C08176,Savings,42754.85,Active
A00201,C08457,Current,561353.25,Active
A00202,C01688,Investment,390541.07,Active
A00203,C00733,Savings,886162.16,Active
A00204,C06343,Current,654686.99,Active
A00205,C04206,Investment,429970.33,Active
A00206,C09648,Investment,84231.23,Active
A00207,C03780,Investment,682049.04,Active
A00208,C04099,Investment,34157.17,Active
A00209,C07972,Investment,16450.35,Active
A00210,C05510,Investment,998050.97,Active
A00211,C09768,Current,682994.37,Active
A00212,C01133,Investment,863512.98,Active
A00213,C01636,Savings,397708.94,Active
A00214,C09496,Current,465082.33,Active
A00215,C04543,Savings,118747.83,Active
A00216,C04041,Savings,598762.75,Active
A00217,C06521,Investment,139408.65,Inactive
A00218,C02816,Current,796094.42,Active
A00219,C01853,Current,571815.39,Inactive
A00220,C00411,Investment,708131.16,Active
A00221,C04528,Investment,11454.07,Inactive
A00222,C09888,Savings,199787.79,Closed
A00223,C08934,Savings,756249.33,Active
A00224,C03148,Investment,839356.89,Active
A00225,C00070,Current,362725.67,Active
A00226,C05346,Savings,480537.96,Active
A00227,C04157,Current,574336.24,Active
A00228,C05656,Savings,26972.30,Active
A00229,C01336,Current,48037.82,Active
A00230,C01449,Savings,910971.25,Active
A00231,C01422,Investment,331088.63,Active
A00232,C09551,Investment,482708.84,Active
A00233,C03614,Current,808218.11,Inactive
A00234,C07435,Savings,493289.14,Active
A00235,C07962,Investment,27798.87,Active
A00236,C06731,Investment,452449.35,Active
A00237,C09391,Current,74640.15,Active
A00238,C06259,Savings,330629.64,Closed
A00239,C04152,Investment,809342.22,Active
A00240,C09098,Investment,321439.41,Active
A00241,C06311,Investment,259608.75,Active
A00242,C07431,Current,458047.59,Inactive
A00243,C07137,Savings,10380.55,Active
A00244,C05082,Current,941800.59,Active
A00245,C09620,Investment,455591.47,Active
A00246,C03821,Savings,639413.70,Active
A00247,C03873,Savings,228418.97,Active
A00248,C09506,Current,748668.44,Active
A00249,C07393,Current,912496.48,Closed
A00250,C04326,Current,117194.08,Active
A00251,C08894,Current,897008.13,Inactive
A00252,C09612,Current,701208.61,Closed
A00253,C03559,Savings,541859.90,Closed
A00254,C06341,Savings,856589.31,Active
A00255,C02658,Current,52412.90,Active
A00256,C09563,Current,817810.82,Active
A00257,C04898,Current,414143.00,Active
A00258,C01762,Savings,484632.69,Closed
A00259,C07745,Current,307366.75,Active
A00260,C04751,Investment,743436.55,Active
A00261,C07559,Savings,512224.33,Active
A00262,C02486,Savings,388013.75,Active
A00263,C04851,Investment,338515.50,Inactive
A00264,C00406,Savings,580390.04,Active
A00265,C04225,Investment,380845.35,Inactive
A00266,C06830,Savings,843008.13,Active
A00267,C09669,Investment,597861.66,Inactive
A00268,C06681,Savings,219265.39,Active
A00269,C06714,Investment,476881.47,Active
A00270,C07256,Current,890480.28,Active
A00271,C06138,Current,41839.33,Active
A00272,C09331,Investment,893187.03,Active
A00273,C06165,Savings,497505.40,Active
A00274,C07276,Savings,670409.87,Active
A00275,C07173,Savings,988367.63,Active
A00276,C09076,Investment,420023.54,Active
A00277,C00533,Current,540099.56,Inactive
A00278,C02752,Current,202514.52,Active
A00279,C03963,Savings,788005.73,Active
A00280,C09657,Savings,252978.94,Active
A00281,C06573,Investment,889707.39,Active
A00282,C06191,Investment,984925.76,Active
A00283,C03713,Investment,917213.12,Active
A00284,C05633,Investment,131384.23,Active
A00285,C08810,Current,323795.58,Active
A00286,C05006,Savings,137403.62,Active
A00287,C07904,Investment,834809.66,Active
A00288,C06268,Current,254554.60,Inactive
A00289,C09105,Current,287981.14,Active
A00290,C05582,Savings,107527.18,Closed
A00291,C08525,Savings,256669.14,Active
A00292,C05096,Savings,529877.88,Active
A00293,C04057,Current,410786.89,Closed
A00294,C02163,Current,333688.32,Active
A00295,C09129,Current,551097.92,Active
A00296,C07318,Investment,397490.53,Active
A00297,C00689,Savings,722384.61,Closed
A00298,C02766,Savings,249857.33,Active
A00299,C07874,Savings,902062.45,Active
A00300,C05342,Investment,401882.46,Active
A00301,C03422,Investment,775910.17,Active
A00302,C08847,Current,566294.43,Active
A00303,C02613,Investment,497565.96,Active
A00304,C01250,Current,801637.33,Active
A00305,C09297,Current,797406.35,Active
A00306,C01854,Current,915797.76,Active
A00307,C05075,Current,115740.41,Active
A00308,C03190,Savings,542360.08,Active
A00309,C07717,Savings,20366.75,Active
A00310,C00678,Savings,527543.98,Active
A00311,C01300,Savings,939057.71,Active
A00312,C02609,Investment,703605.00,Active
A00313,C01348,Investment,887559.53,Active
A00314,C06006,Current,67756.42,Active
A00315,C08164,Investment,138351.59,Inactive
A00316,C01117,Savings,868575.30,Active
A00317,C06801,Savings,874571.70,Active
A00318,C00294,Savings,356156.21,Active
A00319,C09358,Current,253609.50,Active
A00320,C00833,Savings,867853.44,Active
A00321,C07886,Investment,908639.10,Active
A00322,C08895,Savings,202461.53,Active
A00323,C06103,Investment,952394.85,Active
A00324,C03898,Investment,555835.33,Active
A00325,C00172,Current,49925.39,Active
A00326,C04254,Current,445988.79,Active
A00327,C03754,Savings,401934.59,Active
A00328,C08709,Current,500667.45,Active
A00329,C07542,Savings,96558.13,Active
A00330,C01751,Investment,432853.18,Active
A00331,C07920,Investment,133102.23,Active
A00332,C05741,Savings,571885.83,Active
A00333,C09214,Savings,550158.98,Active
A00334,C02070,Savings,227617.87,Active
A00335,C09259,Current,841935.41,Active
A00336,C09427,Investment,851145.65,Active
A00337,C09593,Current,506015.35,Active
A00338,C01690,Current,535990.71,Inactive
A00339,C06095,Current,810743.53,Active
A00340,C03458,Investment,646278.52,Active
A00341,C09856,Savings,973621.96,Inactive
A00342,C07646,Current,830659.46,Active
A00343,C01814,Current,914825.56,Active
A00344,C07664,Savings,583241.07,Active
A00345,C02135,Current,601688.84,Active
A00346,C08937,Savings,693407.52,Active
A00347,C09423,Current,727889.63,Active
A00348,C07115,Investment,789614.32,Active
A00349,C04226,Current,192078.08,Active
A00350,C05614,Current,623013.26,Active
A00351,C08117,Savings,603997.69,Inactive
A00352,C05930,Current,111207.32,Inactive
A00353,C05037,Savings,894432.80,Inactive
A00354,C00705,Savings,613769.95,Active
A00355,C03710,Current,928167.69,Active
A00356,C04864,Savings,293718.48,Active
A00357,C06861,Savings,626857.73,Active
A00358,C09300,Current,10474.28,Active
A00359,C05806,Current,228826.47,Active
A00360,C04719,Savings,406112.04,Active
A00361,C02268,Savings,366601.39,Active
A00362,C00542,Savings,413178.80,Active
A00363,C00870,Investment,760714.18,Active
A00364,C04398,Investment,974567.86,Inactive
A00365,C05441,Savings,467294.22,Active
A00366,C01863,Current,185162.33,Active
A00367,C05092,Savings,259366.04,Closed
A00368,C05379,Current,572006.31,Active
A00369,C00189,Investment,66709.56,Active
A00370,C03650,Savings,978912.54,Active
A00371,C04472,Current,801326.23,Active
A00372,C09425,Investment,637734.09,Active
A00373,C05293,Investment,417839.04,Active
A00374,C07886,Current,797453.12,Active
A00375,C05783,Savings,863181.54,Active
A00376,C02766,Savings,431844.93,Inactive
A00377,C04935,Current,728865.48,Active
A00378,C05316,Savings,43663.36,Active
A00379,C09915,Investment,16883.33,Active
A00380,C00911,Current,301313.38,Active
A00381,C01107,Investment,312452.38,Active
A00382,C08246,Current,250170.13,Active
A00383,C05323,Current,260547.80,Inactive
A00384,C04656,Savings,641656.34,Active
A00385,C08073,Investment,144464.65,Active
A00386,C01003,Investment,433435.07,Closed
A00387,C04386,Investment,225409.21,Active
A00388,C03788,Investment,574994.02,Active
A00389,C04542,Current,853817.97,Active
A00390,C09666,Savings,791393.33,Active
A00391,C02860,Investment,469341.06,Active
A00392,C05479,Current,198929.89,Active
A00393,C08372,Savings,892044.73,Active
A00394,C07888,Savings,277956.96,Active
A00395,C03412,Savings,181607.73,Active
A00396,C05083,Savings,845288.71,Active
A00397,C07794,Current,22617.16,Active
A00398,C06133,Savings,714864.79,Active
A00399,C00901,Savings,230921.35,Active
A00400,C01190,Current,49149.56,Active
A00401,C02164,Current,96741.75,Active
A00402,C01471,Current,947262.69,Active
A00403,C08170,Savings,804167.84,Closed
A00404,C04371,Investment,997669.25,Active
A00405,C02489,Savings,895465.61,Active
A00406,C04902,Current,393876.99,Active
A00407,C09728,Investment,157113.16,Active
A00408,C01436,Savings,321421.16,Active
A00409,C00584,Current,770924.07,Active
A00410,C01494,Savings,822473.24,Active
A00411,C05657,Savings,349947.23,Active
A00412,C05081,Investment,961037.00,Inactive
A00413,C01121,Investment,713237.67,Active
A00414,C05459,Investment,497715.17,Active
A00415,C05865,Current,949444.46,Inactive
A00416,C06428,Current,797744.30,Active
A00417,C08437,Investment,649945.53,Closed
A00418,C06711,Savings,18431.98,Active
A00419,C01972,Investment,411106.81,Active
A00420,C01220,Investment,669945.21,Active
A00421,C05975,Investment,433142.69,Active
A00422,C00152,Savings,458743.23,Inactive
A00423,C05123,Savings,289872.61,Active
A00424,C09947,Investment,659870.93,Active
A00425,C05874,Investment,652478.92,Active
A00426,C07547,Savings,306765.87,Active
A00427,C06922,Savings,912991.00,Active
A00428,C09714,Savings,110194.98,Active
A00429,C04662,Current,733001.43,Active
A00430,C03548,Investment,149650.68,Active
A00431,C08593,Investment,557710.86,Active
A00432,C03394,Savings,281766.54,Closed
A00433,C06402,Investment,115465.60,Inactive
A00434,C09091,Investment,114767.79,Closed
A00435,C07752,Investment,536121.11,Active
A00436,C08642,Investment,353867.91,Active
A00437,C09763,Savings,993018.15,Active
A00438,C09687,Current,334737.31,Active
A00439,C09123,Investment,758904.75,Active
A00440,C02886,Investment,35240.56,Active
A00441,C02558,Investment,488786.87,Active
A00442,C09077,Savings,673556.34,Inactive
A00443,C04758,Current,155183.45,Active
A00444,C03454,Current,420554.99,Active
A00445,C08451,Savings,727424.59,Active
A00446,C00472,Investment,222723.16,Active
A00447,C09891,Current,952347.69,Active
A00448,C09805,Investment,629182.06,Active
A00449,C01692,Investment,256047.94,Closed
A00450,C09955,Investment,205215.13,Active
A00451,C01302,Current,388140.69,Active
A00452,C00579,Current,379539.25,Active
A00453,C06847,Current,373201.67,Inactive
A00454,C05532,Current,893322.21,Active
A00455,C04987,Current,431676.21,Active
A00456,C09956,Current,821205.78,Active
A00457,C04976,Savings,926202.20,Active
A00458,C00800,Investment,656165.29,Active
A00459,C02402,Savings,720039.41,Active
A00460,C08672,Current,429093.72,Active
A00461,C03505,Savings,770759.84,Active
A00462,C07899,Savings,19410.10,Active
A00463,C06202,Current,687825.31,Active
A00464,C09698,Savings,839809.61,Active
A00465,C04640,Investment,481006.03,Active
A00466,C01696,Savings,263358.56,Active
A00467,C06144,Current,337678.24,Active
A00468,C00948,Current,296491.61,Closed
A00469,C08312,Investment,720201.27,Active
A00470,C09604,Investment,843088.11,Active
A00471,C08127,Current,631466.30,Active
A00472,C08356,Current,135969.52,Active
A00473,C06419,Savings,14176.40,Active
A00474,C04622,Savings,526625.76,Active
A00475,C00974,Savings,30878.75,Active
A00476,C03661,Current,158231.09,Active
A00477,C03704,Savings,492226.88,Closed
A00478,C04555,Savings,438245.22,Active
A00479,C06763,Current,990379.26,Active
A00480,C06349,Savings,512472.67,Active
A00481,C03190,Current,100676.32,Active
A00482,C06187,Savings,146126.86,Active
A00483,C05363,Investment,404816.23,Active
A00484,C02088,Savings,38317.63,Active
A00485,C04702,Savings,372908.04,Active
A00486,C07400,Savings,185267.75,Active
A00487,C06046,Investment,564298.15,Active
A00488,C04300,Savings,923104.71,Inactive
A00489,C02720,Investment,882679.13,Active
A00490,C01138,Current,403144.39,Active
A00491,C08885,Savings,849950.92,Active
A00492,C02083,Current,527677.19,Active
A00493,C04513,Current,635250.73,Active
A00494,C09124,Current,799857.72,Active
A00495,C05348,Savings,474161.71,Active
A00496,C09039,Current,303443.37,Active
A00497,C02372,Savings,799445.49,Active
A00498,C09099,Savings,251811.04,Active
A00499,C06438,Savings,724462.72,Active
A00500,C07562,Savings,462561.58,Active
A00501,C00681,Savings,943078.92,Active
A00502,C01801,Investment,32534.60,Active
A00503,C06237,Investment,587573.26,Active
A00504,C04319,Savings,604678.50,Active
A00505,C09401,Current,7394.72,Active
A00506,C04321,Current,930748.69,Active
A00507,C08215,Investment,833479.17,Active
A00508,C01671,Investment,804433.20,Active
A00509,C05167,Current,956456.67,Active
A00510,C02344,Current,726554.82,Active
A00511,C09048,Investment,777285.59,Active
A00512,C00742,Savings,262571.80,Active
A00513,C03245,Savings,516153.01,Active
A00514,C09214,Investment,104465.11,Active
A00515,C05601,Savings,697710.17,Active
A00516,C05159,Investment,116728.33,Inactive
A00517,C00037,Current,312507.31,Active
A00518,C05918,Current,2362.20,Active
A00519,C00783,Current,453782.11,Active
A00520,C08247,Current,527040.51,Active
A00521,C03243,Savings,263413.44,Active
A00522,C06386,Current,315387.78,Active
A00523,C02499,Current,328794.13,Closed
A00524,C09825,Current,790768.92,Active
A00525,C04387,Savings,223261.63,Inactive
A00526,C07369,Current,259012.96,Active
A00527,C08606,Current,4706.25,Inactive
A00528,C04046,Investment,107436.08,Active
A00529,C04734,Savings,186636.31,Active
A00530,C04923,Savings,5302.69,Active
A00531,C03673,Savings,427200.67,Active
A00532,C05745,Savings,940362.87,Active
A00533,C09119,Savings,348335.26,Inactive
A00534,C06498,Savings,88501.52,Active
A00535,C01331,Savings,996454.34,Active
A00536,C05445,Current,407596.70,Active
A00537,C05278,Savings,396768.64,Active
A00538,C04729,Savings,62371.41,Active
A00539,C08537,Current,464415.26,Active
A00540,C09199,Current,775122.50,Active
A00541,C08501,Investment,272352.25,Active
A00542,C01137,Current,13104.93,Active
A00543,C06641,Savings,26327.81,Active
A00544,C07472,Current,4924.79,Active
A00545,C07968,Savings,654188.28,Active
A00546,C05079,Investment,198073.42,Active
A00547,C00606,Current,528277.34,Active
A00548,C01211,Current,107510.47,Active
A00549,C06933,Savings,992707.79,Active
A00550,C00388,Savings,921991.73,Active
A00551,C04813,Savings,944868.36,Active
A00552,C05476,Investment,423451.19,Active
A00553,C03808,Savings,665917.75,Active
A00554,C09252,Investment,407749.94,Active
A00555,C05611,Current,940183.06,Active
A00556,C01785,Current,776378.77,Active
A00557,C03459,Investment,234904.16,Active
A00558,C00021,Savings,311805.58,Active
A00559,C09596,Investment,180932.21,Active
A00560,C05702,Savings,719621.58,Active
A00561,C07826,Investment,831640.25,Active
A00562,C07446,Savings,961567.50,Inactive
A00563,C07006,Investment,913125.58,Active
A00564,C08116,Investment,723051.64,Inactive
A00565,C03213,Investment,811975.57,Active
A00566,C08619,Current,857964.80,Closed
A00567,C03992,Investment,154280.41,Active
A00568,C06358,Investment,453781.79,Active
A00569,C01282,Savings,274206.10,Active
A00570,C02038,Current,917493.58,Active
A00571,C00547,Current,6857.73,Active
A00572,C01660,Current,872840.90,Active
A00573,C07578,Investment,126170.10,Inactive
A00574,C01990,Current,137111.24,Active
A00575,C09625,Investment,612743.19,Inactive
A00576,C06079,Current,393751.77,Active
A00577,C09709,Investment,694267.69,Active
A00578,C01666,Current,662959.03,Active
A00579,C05369,Current,486511.63,Active
A00580,C03782,Investment,717629.95,Active
A00581,C02168,Current,695914.60,Closed
A00582,C08864,Current,398135.23,Active
A00583,C02473,Current,322832.06,Active
A00584,C00898,Current,24829.72,Inactive
A00585,C06381,Savings,8080.90,Active
A00586,C01821,Investment,770947.22,Active
A00587,C05353,Current,74725.78,Active
A00588,C09592,Current,193333.93,Active
A00589,C04135,Investment,623863.12,Active
A00590,C02283,Savings,855560.30,Active
A00591,C09111,Investment,140791.72,Active
A00592,C08698,Current,666343.41,Active
A00593,C09388,Investment,52182.75,Active
A00594,C09187,Current,478593.24,Active
A00595,C03573,Savings,62299.95,Active
A00596,C08671,Savings,494296.44,Inactive
A00597,C07639,Investment,245767.02,Closed
A00598,C05945,Current,724914.70,Active
A00599,C02270,Savings,987838.01,Active
A00600,C08689,Investment,137076.49,Active
A00601,C06729,Savings,750902.25,Active
A00602,C06515,Current,122442.69,Active
A00603,C03660,Savings,156385.12,Active
A00604,C01907,Investment,628163.59,Active
A00605,C06940,Investment,190084.91,Inactive
A00606,C09986,Investment,67051.49,Active
A00607,C07120,Current,15935.58,Active
A00608,C03692,Investment,666758.73,Active
A00609,C03738,Investment,180505.18,Active
A00610,C08744,Savings,885625.68,Active
A00611,C06592,Current,911597.81,Active
A00612,C09872,Savings,461634.28,Active
A00613,C09301,Current,845813.95,Active
A00614,C03056,Current,185824.08,Active
A00615,C04215,Current,301983.50,Active
A00616,C04069,Investment,630163.99,Active
A00617,C08883,Current,507788.33,Inactive
A00618,C01903,Savings,309801.13,Closed
A00619,C03618,Savings,426659.60,Active
A00620,C08516,Savings,321154.09,Active
A00621,C01396,Current,317946.76,Active
A00622,C00915,Investment,909936.44,Active
A00623,C02735,Current,531116.00,Inactive
A00624,C00855,Savings,922372.05,Active
A00625,C02490,Savings,713526.06,Active
A00626,C06393,Savings,468494.11,Active
A00627,C02926,Investment,966659.13,Active
A00628,C00369,Savings,146608.45,Active
A00629,C04866,Savings,535652.21,Active
A00630,C05235,Current,658236.05,Active
A00631,C08024,Current,769792.32,Active
A00632,C09360,Savings,602042.67,Active
A00633,C08010,Investment,316531.29,Active
A00634,C09246,Investment,816307.61,Active
A00635,C07397,Current,682507.45,Active
A00636,C07856,Investment,217354.87,Active
A00637,C07472,Savings,219199.57,Active
A00638,C02432,Current,393551.93,Active
A00639,C07063,Savings,104306.66,Active
A00640,C09104,Current,730553.04,Active
A00641,C03408,Savings,796686.20,Active
A00642,C05923,Current,956284.44,Active
A00643,C08326,Investment,147006.71,Closed
A00644,C04141,Investment,559060.85,Active
A00645,C03657,Savings,799571.65,Active
A00646,C07729,Investment,716400.61,Active
A00647,C01364,Savings,637040.03,Active
A00648,C06993,Current,762734.20,Active
A00649,C05717,Savings,184708.11,Active
A00650,C00108,Savings,617565.54,Active
A00651,C09018,Current,138589.02,Active
A00652,C01137,Current,682196.52,Active
A00653,C07044,Savings,629601.41,Active
A00654,C02573,Investment,731637.56,Active
A00655,C05440,Savings,684746.80,Active
A00656,C05955,Savings,33328.73,Active
A00657,C04974,Investment,538228.40,Active
A00658,C02112,Savings,429845.15,Active
A00659,C00781,Savings,210594.15,Active
A00660,C07403,Savings,129872.92,Active
A00661,C02516,Investment,654539.54,Active
A00662,C03120,Investment,272444.85,Active
A00663,C04500,Savings,995768.85,Active
A00664,C03354,Investment,115613.30,Active
A00665,C09391,Savings,849571.27,Active
A00666,C09932,Savings,871328.90,Active
A00667,C03623,Savings,422604.84,Inactive
A00668,C06985,Investment,386121.46,Active
A00669,C05007,Savings,249480.51,Inactive
A00670,C04166,Current,279169.72,Active
A00671,C00310,Current,100490.61,Active
A00672,C09508,Current,5279.90,Active
A00673,C04709,Current,788990.17,Active
A00674,C00451,Savings,329868.63,Active
A00675,C08025,Current,300024.38,Active
A00676,C06765,Investment,170786.44,Active
A00677,C02124,Current,96796.75,Active
A00678,C05208,Savings,654542.75,Closed
A00679,C06684,Investment,573572.57,Active
A00680,C01618,Investment,719118.77,Active
A00681,C05406,Savings,708639.94,Active
A00682,C04007,Investment,163482.04,Active
A00683,C09056,Savings,325052.83,Active
A00684,C03164,Current,648273.72,Active
A00685,C03851,Current,921312.64,Active
A00686,C05015,Current,995063.43,Active
A00687,C05569,Investment,870495.69,Active
A00688,C05966,Savings,771816.71,Active
A00689,C05401,Savings,817254.28,Active
A00690,C07134,Savings,463543.84,Active
A00691,C09047,Investment,177991.12,Active
A00692,C01351,Current,277084.01,Active
A00693,C03899,Savings,255472.37,Closed
A00694,C08744,Investment,7986.07,Active
A00695,C07716,Savings,836933.27,Active
A00696,C05071,Savings,178912.78,Closed
A00697,C03608,Current,957321.06,Active
A00698,C04834,Investment,731106.56,Active
A00699,C02967,Savings,326659.00,Active
A00700,C09233,Current,443511.71,Active
A00701,C09824,Investment,982571.87,Active
A00702,C03087,Current,989449.57,Active
